Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
CACAO-__0__20191123_055531.wav;055531.wav;05;5;Marino;ACI;3148,58;;;;;
CACAO-__0__20191123_080531.wav;080531.wav;08;8;Marino;ACI;3286,38;;;;;
CACAO-__0__20191123_101531.wav;101531.wav;10;10;Marino;ACI;3482,07;;;;;
CACAO-__0__20191123_122531.wav;122531.wav;12;12;Marino;ACI;3249,22;;;;;
CACAO-__0__20191123_143531.wav;143531.wav;14;14;Marino;ACI;3168,82;;;;;
CACAO-__0__20191123_164531.wav;164531.wav;16;16;Marino;ACI;3132,47;;;;;
CACAO-__0__20191123_185531.wav;185531.wav;18;18;Marino;ACI;3016,89;;;;;
CACAO-__0__20191123_210531.wav;210531.wav;21;21;Marino;ACI;3088,64;;;;;
CACAO-__0__20191123_231531.wav;231531.wav;23;23;Marino;ACI;3093,62;;;;;
CACAO-__0__20191124_012531.wav;012531.wav;01;1;Marino;ACI;3145,81;;;;;
CACAO-__0__20191124_033531.wav;033531.wav;03;3;Marino;ACI;3101,41;;;;;
CACAO-__0__20191124_054531.wav;054531.wav;05;5;Marino;ACI;3308,33;;;;;
CACAO-__0__20191124_075531.wav;075531.wav;07;7;Marino;ACI;3124,77;;;;;
CACAO-__0__20191124_100531.wav;100531.wav;10;10;Marino;ACI;3420,15;;;;;
CACAO-__0__20191124_121531.wav;121531.wav;12;12;Marino;ACI;3946,19;;;;;
CACAO-__0__20191124_142531.wav;142531.wav;14;14;Marino;ACI;3668,18;;;;;
CACAO-__0__20191124_163531.wav;163531.wav;16;16;Marino;ACI;3076,43;;;;;
CACAO-__0__20191124_184531.wav;184531.wav;18;18;Marino;ACI;3026,17;;;;;
CACAO-__0__20191124_205531.wav;205531.wav;20;20;Marino;ACI;3175,65;;;;;
CACAO-__0__20191124_230531.wav;230531.wav;23;23;Marino;ACI;3169,94;;;;;
CACAO-__0__20191125_011531.wav;011531.wav;01;1;Marino;ACI;3095,97;;;;;
CACAO-__0__20191125_032531.wav;032531.wav;03;3;Marino;ACI;3237,53;;;;;
CACAO-__0__20191125_053531.wav;053531.wav;05;5;Marino;ACI;3251,94;;;;;
CACAO-__0__20191125_074531.wav;074531.wav;07;7;Marino;ACI;3251,37;;;;;
CACAO-__0__20191125_095531.wav;095531.wav;09;9;Marino;ACI;3479,70;;;;;
CACAO-__0__20191125_120531.wav;120531.wav;12;12;Marino;ACI;3464,85;;;;;
CACAO-__0__20191125_141531.wav;141531.wav;14;14;Marino;ACI;3301,92;;;;;
CACAO-__0__20191125_162531.wav;162531.wav;16;16;Marino;ACI;3102,69;;;;;
CACAO-__0__20191125_183531.wav;183531.wav;18;18;Marino;ACI;3010,58;;;;;
CACAO-__0__20191125_204531.wav;204531.wav;20;20;Marino;ACI;2953,46;;;;;
CACAO-__0__20191125_225531.wav;225531.wav;22;22;Marino;ACI;2991,87;;;;;
CACAO-__0__20191126_010531.wav;010531.wav;01;1;Marino;ACI;3029,61;;;;;
CACAO-__0__20191126_031531.wav;031531.wav;03;3;Marino;ACI;3149,17;;;;;
CACAO-__0__20191126_052531.wav;052531.wav;05;5;Marino;ACI;3214,11;;;;;
CACAO-__0__20191126_073531.wav;073531.wav;07;7;Marino;ACI;3247,63;;;;;
CACAO-__0__20191126_094531.wav;094531.wav;09;9;Marino;ACI;3242,91;;;;;
CACAO-__0__20191126_115531.wav;115531.wav;11;11;Marino;ACI;3576,39;;;;;
CACAO-__0__20191126_140531.wav;140531.wav;14;14;Marino;ACI;3207,46;;;;;
CACAO-__0__20191126_161531.wav;161531.wav;16;16;Marino;ACI;3226,96;;;;;
CACAO-__0__20191126_182531.wav;182531.wav;18;18;Marino;ACI;2948,71;;;;;
CACAO-__0__20191126_203531.wav;203531.wav;20;20;Marino;ACI;3063,64;;;;;
CACAO-__0__20191126_224531.wav;224531.wav;22;22;Marino;ACI;3082,02;;;;;
CACAO-__0__20191127_005531.wav;005531.wav;00;0;Marino;ACI;3153,69;;;;;
CACAO-__0__20191127_030531.wav;030531.wav;03;3;Marino;ACI;3103,40;;;;;
CACAO-__0__20191127_051531.wav;051531.wav;05;5;Marino;ACI;3264,47;;;;;
CACAO-__0__20191127_072531.wav;072531.wav;07;7;Marino;ACI;3189,34;;;;;
CACAO-__0__20191127_093531.wav;093531.wav;09;9;Marino;ACI;3243,76;;;;;
CACAO-__0__20191127_114531.wav;114531.wav;11;11;Marino;ACI;4898,43;;;;;
CACAO2-__0__20200303_124657.wav;124657.wav;12;12;Marino;ACI;712,53;;;;;
CACAO2-__0__20200303_144857.wav;144857.wav;14;14;Marino;ACI;703,53;;;;;
CACAO2-__0__20200303_165057.wav;165057.wav;16;16;Marino;ACI;613,00;;;;;
CACAO2-__0__20200303_185257.wav;185257.wav;18;18;Marino;ACI;620,09;;;;;
CACAO2-__0__20200303_205457.wav;205457.wav;20;20;Marino;ACI;621,74;;;;;
CACAO2-__0__20200303_225657.wav;225657.wav;22;22;Marino;ACI;622,25;;;;;
CACAO2-__0__20200304_005857.wav;005857.wav;00;0;Marino;ACI;603,73;;;;;
CACAO2-__0__20200304_030057.wav;030057.wav;03;3;Marino;ACI;614,47;;;;;
CACAO2-__0__20200304_050257.wav;050257.wav;05;5;Marino;ACI;619,20;;;;;
CACAO2-__0__20200304_070457.wav;070457.wav;07;7;Marino;ACI;663,78;;;;;
CACAO2-__0__20200304_090657.wav;090657.wav;09;9;Marino;ACI;660,71;;;;;
CACAO2-__0__20200304_110857.wav;110857.wav;11;11;Marino;ACI;800,95;;;;;
CACAO2-__0__20200304_131057.wav;131057.wav;13;13;Marino;ACI;860,80;;;;;
CACAO2-__0__20200304_151257.wav;151257.wav;15;15;Marino;ACI;649,92;;;;;
CACAO2-__0__20200304_171457.wav;171457.wav;17;17;Marino;ACI;614,17;;;;;
CACAO2-__0__20200304_191657.wav;191657.wav;19;19;Marino;ACI;619,26;;;;;
CACAO2-__0__20200304_211857.wav;211857.wav;21;21;Marino;ACI;632,86;;;;;
CACAO2-__0__20200304_232057.wav;232057.wav;23;23;Marino;ACI;614,00;;;;;
CACAO2-__0__20200305_012257.wav;012257.wav;01;1;Marino;ACI;628,52;;;;;
CACAO2-__0__20200305_032457.wav;032457.wav;03;3;Marino;ACI;609,50;;;;;
CACAO2-__0__20200305_052657.wav;052657.wav;05;5;Marino;ACI;638,50;;;;;
CACAO2-__0__20200305_072857.wav;072857.wav;07;7;Marino;ACI;641,97;;;;;
CACAO2-__0__20200305_093057.wav;093057.wav;09;9;Marino;ACI;655,52;;;;;
CACAO2-__0__20200305_113257.wav;113257.wav;11;11;Marino;ACI;677,87;;;;;
CACAO2-__0__20200305_133457.wav;133457.wav;13;13;Marino;ACI;779,12;;;;;
CACAO2-__0__20200305_153657.wav;153657.wav;15;15;Marino;ACI;624,02;;;;;
CACAO2-__0__20200305_173857.wav;173857.wav;17;17;Marino;ACI;608,58;;;;;
CACAO2-__0__20200305_194057.wav;194057.wav;19;19;Marino;ACI;609,39;;;;;
CACAO2-__0__20200305_214257.wav;214257.wav;21;21;Marino;ACI;625,64;;;;;
CACAO2-__0__20200305_234457.wav;234457.wav;23;23;Marino;ACI;621,97;;;;;
CACAO2-__0__20200306_014657.wav;014657.wav;01;1;Marino;ACI;604,63;;;;;
CACAO2-__0__20200306_034857.wav;034857.wav;03;3;Marino;ACI;610,69;;;;;
CACAO2-__0__20200306_055057.wav;055057.wav;05;5;Marino;ACI;643,36;;;;;
CACAO2-__0__20200306_075257.wav;075257.wav;07;7;Marino;ACI;612,81;;;;;
CACAO2-__0__20200306_095457.wav;095457.wav;09;9;Marino;ACI;667,50;;;;;
CACAO2-__0__20200306_115657.wav;115657.wav;11;11;Marino;ACI;791,82;;;;;
CACAO2-__0__20200306_135857.wav;135857.wav;13;13;Marino;ACI;646,32;;;;;
CACAO2-__0__20200306_160057.wav;160057.wav;16;16;Marino;ACI;609,80;;;;;
CACAO2-__0__20200306_180257.wav;180257.wav;18;18;Marino;ACI;626,75;;;;;
CACAO2-__0__20200306_200457.wav;200457.wav;20;20;Marino;ACI;634,55;;;;;
CACAO2-__0__20200306_220657.wav;220657.wav;22;22;Marino;ACI;628,43;;;;;
CACAO2-__0__20200307_000857.wav;000857.wav;00;0;Marino;ACI;616,08;;;;;
CACAO2-__0__20200307_021057.wav;021057.wav;02;2;Marino;ACI;629,83;;;;;
CACAO2-__0__20200307_041257.wav;041257.wav;04;4;Marino;ACI;619,49;;;;;
CACAO2-__0__20200307_061457.wav;061457.wav;06;6;Marino;ACI;634,23;;;;;
CACAO2-__0__20200307_081657.wav;081657.wav;08;8;Marino;ACI;619,87;;;;;
CACAO2-__0__20200307_101857.wav;101857.wav;10;10;Marino;ACI;876,38;;;;;
CACAO2-__0__20200307_122057.wav;122057.wav;12;12;Marino;ACI;777,06;;;;;
CACAO2-__0__20200307_142257.wav;142257.wav;14;14;Marino;ACI;653,25;;;;;
CACAO2-__0__20200307_162457.wav;162457.wav;16;16;Marino;ACI;614,04;;;;;
CACAO2-__0__20200307_182657.wav;182657.wav;18;18;Marino;ACI;598,39;;;;;
CACAO2-__0__20200307_202857.wav;202857.wav;20;20;Marino;ACI;620,78;;;;;
CACAO2-__0__20200307_223057.wav;223057.wav;22;22;Marino;ACI;611,89;;;;;
CACAO2-__0__20200308_003257.wav;003257.wav;00;0;Marino;ACI;646,18;;;;;
CACAO2-__0__20200308_023457.wav;023457.wav;02;2;Marino;ACI;611,48;;;;;
CACAO2-__0__20200308_043657.wav;043657.wav;04;4;Marino;ACI;617,47;;;;;
CACAO2-__0__20200308_063857.wav;063857.wav;06;6;Marino;ACI;637,58;;;;;
CACAO2-__0__20200308_084057.wav;084057.wav;08;8;Marino;ACI;618,77;;;;;
CACAO2-__0__20200308_104257.wav;104257.wav;10;10;Marino;ACI;651,53;;;;;
CACAO2-__0__20200308_124457.wav;124457.wav;12;12;Marino;ACI;699,38;;;;;
CACAO2-__0__20200308_144657.wav;144657.wav;14;14;Marino;ACI;692,99;;;;;
CACAO2-__0__20200308_164857.wav;164857.wav;16;16;Marino;ACI;612,08;;;;;
CACAO2-__0__20200308_185057.wav;185057.wav;18;18;Marino;ACI;588,89;;;;;
CACAO2-__0__20200308_205257.wav;205257.wav;20;20;Marino;ACI;601,05;;;;;
CACAO2-__0__20200308_225457.wav;225457.wav;22;22;Marino;ACI;615,66;;;;;
CACAO2-__0__20200309_005657.wav;005657.wav;00;0;Marino;ACI;615,54;;;;;
CACAO2-__0__20200309_025857.wav;025857.wav;02;2;Marino;ACI;652,65;;;;;
CACAO2-__0__20200309_050057.wav;050057.wav;05;5;Marino;ACI;617,61;;;;;
CACAO2-__0__20200309_070257.wav;070257.wav;07;7;Marino;ACI;615,81;;;;;
CACAO2-__0__20200309_090457.wav;090457.wav;09;9;Marino;ACI;837,06;;;;;
CACAO2-__0__20200309_110657.wav;110657.wav;11;11;Marino;ACI;635,06;;;;;
CACAO2-__0__20200309_130857.wav;130857.wav;13;13;Marino;ACI;772,54;;;;;
CACAO2-__0__20200309_151057.wav;151057.wav;15;15;Marino;ACI;650,71;;;;;
